,TrialNumber,n_back,Stimulus_Letter,Response_Time,Correct_Response,Response,time_sec
380,2,Three Back Task,K,393.0,3.0,3.0,1172.7795
381,2,Three Back Task,C,167.0,3.0,3.0,1174.8125
382,2,Three Back Task,L,423.0,3.0,4.0,1176.8455
383,2,Three Back Task,J,444.0,3.0,3.0,1178.879
384,2,Three Back Task,G,22.0,3.0,3.0,1180.9120000000003
385,2,Three Back Task,F,277.0,3.0,3.0,1182.9450000000002
386,2,Three Back Task,J,397.0,4.0,3.0,1184.978
387,2,Three Back Task,G,199.0,4.0,4.0,1187.011
388,2,Three Back Task,H,799.0,3.0,4.0,1189.0439999999999
389,2,Three Back Task,E,264.0,3.0,3.0,1191.0774999999999
390,2,Three Back Task,W,1250.0,3.0,3.0,1193.1105000000002
391,2,Three Back Task,N,0.0,3.0,,1195.1435000000001
392,2,Three Back Task,X,277.0,3.0,4.0,1197.2095
393,2,Three Back Task,W,202.0,4.0,3.0,1199.243
394,2,Three Back Task,N,473.0,4.0,4.0,1201.2760000000003
395,2,Three Back Task,X,343.0,4.0,4.0,1203.3090000000002
396,3,One Back Task,Y,0.0,3.0,,1220.357
397,3,One Back Task,E,161.0,3.0,3.0,1222.4234999999999
398,3,One Back Task,A,143.0,3.0,3.0,1224.4565000000002
399,3,One Back Task,A,387.0,4.0,4.0,1226.4895000000001
400,3,One Back Task,V,39.0,4.0,3.0,1228.4560000000001
401,3,One Back Task,X,394.0,4.0,3.0,1230.489
402,3,One Back Task,X,370.0,4.0,4.0,1232.4555
403,3,One Back Task,S,0.0,3.0,,1234.4050000000002
404,3,One Back Task,G,109.0,3.0,3.0,1236.4715
405,3,One Back Task,P,420.0,3.0,3.0,1238.5045
406,3,One Back Task,Y,379.0,3.0,3.0,1240.504
407,3,One Back Task,X,4.0,3.0,3.0,1242.4705
408,3,One Back Task,P,430.0,3.0,3.0,1244.504
409,3,One Back Task,U,380.0,3.0,3.0,1246.52
410,3,One Back Task,V,458.0,3.0,3.0,1248.4865
411,3,One Back Task,A,378.0,3.0,3.0,1250.5194999999999
412,3,One Back Task,A,498.0,4.0,4.0,1252.4859999999999
413,3,One Back Task,G,377.0,3.0,3.0,1254.5525000000002
414,3,One Back Task,L,471.0,3.0,3.0,1256.5190000000002
415,3,One Back Task,W,666.0,3.0,3.0,1258.5520000000001
416,3,One Back Task,B,26.0,3.0,3.0,1260.585
417,3,One Back Task,I,87.0,3.0,3.0,1262.618
418,4,Three Back Task,F,0.0,3.0,,1279.6660000000002
419,4,Three Back Task,O,0.0,3.0,,1281.732
420,4,Three Back Task,H,0.0,3.0,,1283.7984999999999
421,4,Three Back Task,W,0.0,3.0,,1285.8650000000002
422,4,Three Back Task,O,30.0,4.0,4.0,1287.9315000000001
423,4,Three Back Task,M,157.0,3.0,3.0,1289.9645
424,4,Three Back Task,L,340.0,3.0,4.0,1291.9975
425,4,Three Back Task,L,502.0,3.0,3.0,1294.031
426,4,Three Back Task,R,171.0,3.0,3.0,1296.0639999999999
427,4,Three Back Task,E,90.0,3.0,3.0,1298.0970000000002
428,4,Three Back Task,L,429.0,4.0,4.0,1300.13
429,4,Three Back Task,N,357.0,3.0,3.0,1302.1295
430,4,Three Back Task,J,201.0,3.0,3.0,1304.1460000000002
431,4,Three Back Task,M,132.0,3.0,4.0,1306.179
432,4,Three Back Task,Y,77.0,3.0,3.0,1308.212
433,4,Three Back Task,U,681.0,3.0,3.0,1310.2455
434,4,Three Back Task,S,125.0,3.0,3.0,1312.2785
435,4,Three Back Task,Y,202.0,4.0,4.0,1314.3115000000003
